epoch,accuracy,loss,val_accuracy,val_loss
0,0.6458908915519714,1.1088194847106934,0.18199999630451202,4.378177165985107
1,0.8722727298736572,0.4447437524795532,0.8795999884605408,0.3807527720928192
2,0.9073091149330139,0.32024329900741577,0.6710000038146973,0.9579275250434875
3,0.9207272529602051,0.2716023027896881,0.9215999841690063,0.25783416628837585
4,0.9297272562980652,0.2389366626739502,0.9484000205993652,0.17827367782592773
5,0.9349818229675293,0.21829979121685028,0.954800009727478,0.15562543272972107
6,0.9401272535324097,0.2010338306427002,0.9229999780654907,0.24786457419395447
7,0.9453999996185303,0.18576131761074066,0.8903999924659729,0.3453006148338318
8,0.9477999806404114,0.17598721385002136,0.9157999753952026,0.2637191116809845
9,0.9502727389335632,0.1673145890235901,0.9028000235557556,0.2859763503074646
10,0.9539636373519897,0.15648961067199707,0.9585999846458435,0.14541703462600708
11,0.9547454714775085,0.1508302092552185,0.9502000212669373,0.1673850566148758
12,0.9572181701660156,0.14252912998199463,0.8145999908447266,0.615571141242981
13,0.9587273001670837,0.13989849388599396,0.953000009059906,0.1500641405582428
14,0.959672749042511,0.13274897634983063,0.9715999960899353,0.10020588338375092
15,0.9610182046890259,0.13003253936767578,0.9692000150680542,0.09881895780563354
16,0.9631999731063843,0.12223166972398758,0.9760000109672546,0.07867781072854996
17,0.9644908905029297,0.11849945038557053,0.9413999915122986,0.1862487494945526
18,0.9651272892951965,0.11396811157464981,0.8812000155448914,0.40750259160995483
19,0.9659636616706848,0.11383625864982605,0.9549999833106995,0.16079851984977722
