epoch,accuracy,loss,val_accuracy,val_loss
0,0.687109112739563,1.0974791049957275,0.8690000176429749,1.1989192962646484
1,0.9013272523880005,0.3844430148601532,0.8655999898910522,0.46741703152656555
2,0.9240727424621582,0.2730666697025299,0.9485999941825867,0.19712963700294495
3,0.9377272725105286,0.22100038826465607,0.9562000036239624,0.15848509967327118
4,0.9441817998886108,0.19609779119491577,0.965399980545044,0.13173246383666992
5,0.9483636617660522,0.1739572435617447,0.9757999777793884,0.08245223015546799
6,0.9528727531433105,0.15898068249225616,0.9592000246047974,0.12951473891735077
7,0.9568363428115845,0.1496688574552536,0.975600004196167,0.07685960084199905
8,0.9583091139793396,0.1425454318523407,0.9765999913215637,0.0817483589053154
9,0.9599636197090149,0.13309870660305023,0.9825999736785889,0.06302987039089203
10,0.9626181721687317,0.1270694136619568,0.9502000212669373,0.16677522659301758
11,0.9634000062942505,0.12255897372961044,0.9787999987602234,0.07014625519514084
12,0.9666363596916199,0.11312595009803772,0.9782000184059143,0.06949475407600403
13,0.9651272892951965,0.11407402157783508,0.9819999933242798,0.05995965003967285
14,0.9662545323371887,0.10883181542158127,0.9818000197410583,0.06307448446750641
15,0.9674545526504517,0.10784507542848587,0.9854000210762024,0.04573240876197815
16,0.9686727523803711,0.10468262434005737,0.9824000000953674,0.05928586423397064
17,0.9688727259635925,0.10250531882047653,0.9775999784469604,0.06613778322935104
18,0.9693818092346191,0.099082812666893,0.9854000210762024,0.05119481682777405
19,0.9709818363189697,0.09556983411312103,0.9833999872207642,0.0531109981238842
